                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.83061,                 1.8011,                0.82952,                 0.4055,                 0.5081,                0.41894,                0.32875,                0.79762,                  2.234,                0.82195,               0.003268,               0.003268,               0.003268
                     36,                0.77257,                 1.6645,                0.83308,                0.42622,                0.47601,                0.42564,                0.33647,                0.79311,                 2.2022,                0.82242,                0.00307,                0.00307,                0.00307
                     37,                0.82462,                 1.6725,                0.81911,                0.54636,                0.42003,                0.41646,                0.32623,                0.79366,                 2.2868,                0.82086,               0.002872,               0.002872,               0.002872
                     38,                0.84082,                 1.6988,                0.83286,                0.44108,                 0.5486,                0.42482,                0.32988,                0.80114,                   2.19,                0.82106,               0.002674,               0.002674,               0.002674
                     39,                 0.7937,                 1.5876,                0.82075,                0.52965,                0.42004,                0.42267,                0.32854,                0.83189,                  2.158,                0.82886,               0.002476,               0.002476,               0.002476
                     40,                0.80035,                 1.9346,                0.81587,                0.55667,                0.45509,                 0.4264,                0.33837,                0.74384,                 2.2335,                0.81498,               0.002278,               0.002278,               0.002278
                     41,                0.80472,                 2.0316,                0.82217,                0.41564,                  0.438,                0.43054,                0.35445,                0.74097,                 2.2743,                0.81343,                0.00208,                0.00208,                0.00208
                     42,                0.74584,                 1.7911,                0.80944,                0.45811,                 0.4717,                0.40503,                0.33121,                0.70773,                 2.1727,                0.81078,               0.001882,               0.001882,               0.001882
                     43,                0.75071,                 1.7722,                0.81729,                 0.4575,                0.46424,                 0.4176,                0.33478,                0.74028,                 2.2145,                0.81489,               0.001684,               0.001684,               0.001684
                     44,                0.73808,                 1.7794,                0.81188,                0.46078,                0.51362,                 0.4141,                0.33317,                0.71894,                 2.2561,                0.81078,               0.001486,               0.001486,               0.001486
                     45,                 0.7205,                 1.7339,                0.81129,                0.46447,                0.45005,                0.40097,                0.32503,                 0.7289,                 2.2619,                0.81459,               0.001288,               0.001288,               0.001288
                     46,                0.73699,                 1.7327,                0.79959,                0.49179,                0.44389,                0.41545,                0.33742,                0.70987,                 2.2115,                0.80986,                0.00109,                0.00109,                0.00109
                     47,                0.73929,                 1.7095,                0.81054,                0.53522,                0.38805,                 0.4208,                0.33469,                 0.7319,                 2.2169,                0.80915,               0.000892,               0.000892,               0.000892
                     48,                0.71401,                 1.6811,                 0.8083,                0.37099,                 0.5163,                0.42211,                0.34599,                 0.6885,                 2.1486,                0.80509,               0.000694,               0.000694,               0.000694
                     49,                0.69348,                 1.5575,                0.81333,                0.39431,                0.51435,                0.42567,                0.35236,                0.68807,                 2.1525,                0.80737,               0.000496,               0.000496,               0.000496
